CRN,Date,Day,Time,Hr,Shift,UCC,PGrp,Ugrp,Location,City,RD,Neighborhood,Pct,Beat,Nature_of_Call
170319074, 3/19/17,Su,10:15,10,Day,2305,LAR,LA,23 HARLAN DR,SAVANNAH,4480X,Fairway Oaks,05,52,"LARCENY,ENTERING AUTO"
170323085, 3/23/17,Th,12:40,12,Day,2305,LAR,LA,2215 E 42ND ST,SAVANNAH,3360D,Victory Heights,05,51,"LARCENY,ENTERING AUTO"
170324033, 3/24/17,Fr,08:35,08,Day,2305,LAR,LA,2313 E 38TH ST,SAVANNAH,3360B,Victory Heights,05,51,"LARCENY,ENTERING AUTO"
170322128, 3/22/17,We,17:32,17,Afternoon,2305,LAR,LA,"4700 WATERS AVE, SAV",SAVANNAH,4416X,Memorial/Fairfield,05,52,"LARCENY,ENTERING AUTO"
170321055, 3/21/17,Tu,10:45,10,Day,2305,LAR,LA,3316 SKIDAWAY RD,SAVANNAH,3438C,Fernwood/Parkwood,05,54,"LARCENY,ENTERING AUTO"
170321057, 3/21/17,Tu,11:00,11,Day,2308,LAR,LB,"4700 WATERS AVE, SAV",Savannah,4416X,Memorial/Fairfield,05,52,"LARCENY,FROM BUILDING"
170321075, 3/21/17,Tu,12:54,12,Day,2308,LAR,LB,"4700 WATERS AVE, SAV",Savannah,4416X,Memorial/Fairfield,05,52,"LARCENY,FROM BUILDING"
170321143, 3/21/17,Tu,17:25,17,Afternoon,2308,LAR,LB,"4700 WATERS AVE, SAV",SAVANNAH,4416X,Memorial/Fairfield,05,52,"LARCENY,FROM BUILDING"
170325138, 3/25/17,Sa,18:33,18,Afternoon,2308,LAR,LB,204 PENN WALLER RD,COU,8120C,Olde Town/Buccaneer Trace/Wilmington Park,05,55,"LARCENY,FROM BUILDING"
170325102, 3/25/17,Sa,15:00,15,Day,2308,LAR,LB,1100 EISENHOWER DR,SAVANNAH,4501D,Benedictine,05,52,"LARCENY,FROM BUILDING"
170323116, 3/23/17,Th,14:25,14,Day,2309,LAR,LY,"1928 E MONTGOMERY CROSS RD, COU",COUNTY,4602B,Paulsen Softball/Memorial Stadium,05,56,"LARCENY,FROM YARDS"
170322078, 3/22/17,We,12:45,12,Day,2404,AT,AT,2204 SKIDAWAY RD,SAVANNAH,3360B,Victory Heights,05,51,AUTO THEFT
170322013, 3/22/17,We,00:40,00,Midnight,2404,AT,AT,2200 TEXAS AVE,SAVANNAH,2390A,Avondale,05,51,AUTO THEFT
170324056, 3/24/17,Fr,10:00,10,Day,2404,AT,AT,202 CRESCENT DR,SAVANNAH,2350X,Twickenham,05,53,AUTO THEFT
170321007, 3/21/17,Tu,01:16,01,Midnight,2404,AT,AT,2411 SKIDAWAY RD,SAVANNAH,3360C,Victory Heights,05,51,AUTO THEFT
