CRN,Date,Day,Time,Hr,Shift,UCC,PGrp,Ugrp,Location,City,RD,Neighborhood,Pct,Beat,Nature_of_Call
170322165, 3/22/17,We,21:14,21,Afternoon,2303,LAR,SHPL,610 MARTIN LUTHER KING J BLVD,SAVANNAH,5146A,SW Historic District,02,25,"LARCENY,SHOPLIFTING"
170321133, 3/21/17,Tu,17:04,17,Afternoon,2303,LAR,SHPL,"702 W OGLETHORPE AVE, SAV",Savannah,1130A,Yamacraw,02,23,"LARCENY,SHOPLIFTING"
170321197, 3/21/17,Tu,23:46,23,Afternoon,2303,LAR,SHPL,325 MARTIN LUTHER KING J BLVD,SAVANNAH,6110A,Kayton/Frazier,02,25,"LARCENY,SHOPLIFTING"
170319073, 3/19/17,Su,10:15,10,Day,2304,LAR,LA,"905 JEFFERSON ST, SAV",Savannah,5156X,W. Victorian District,02,25,"LARCENY,AUTO PARTS"
170319002, 3/19/17,Su,00:02,00,Midnight,2304,LAR,LA,100 E BROUGHTON LN,Savannah,0630X,Central Historic District,02,24,"LARCENY,AUTO PARTS"
170320054, 3/20/17,Mo,09:57,09,Day,2304,LAR,LA,ADAIR ST/WHEATON ST,SAVANNAH,2260X,Blackshear,02,26,"LARCENY,AUTO PARTS"
170325141, 3/25/17,Sa,19:09,19,Afternoon,2305,LAR,LA,"820 BARNARD ST, SAV",SAVANNAH,5157X,W. Victorian District,02,25,"LARCENY,ENTERING AUTO"
170321127, 3/21/17,Tu,17:00,17,Afternoon,2308,LAR,LB,506 E ANDERSON ST #B,SAVANNAH,4176B,Dixon Park,02,24,"LARCENY,FROM BUILDING"
170322020, 3/22/17,We,02:48,02,Midnight,2308,LAR,LB,21 E MCDONOUGH ST,SAVANNAH,0680X,Central Historic District,02,24,"LARCENY,FROM BUILDING"
170322127, 3/22/17,We,17:00,17,Afternoon,2308,LAR,LB,"544 NICOLL ST, SAV",Savannah,3112B,SE Historic District,02,24,"LARCENY,FROM BUILDING"
170324091, 3/24/17,Fr,13:08,13,Day,2308,LAR,LB,120 E JONES ST,SAVANNAH,4106A,Central Historic District,02,24,"LARCENY,FROM BUILDING"
